Date,Open,High,Low,Close*,Adj Close**,Volume
2/1/02,1130,1130,1074,1107,1107,26047600000
1/1/02,1148,1177,1082,1130,1130,29746200000
12/1/01,1139,1174,1115,1148,1148,25128570000
11/1/01,1060,1163,1054,1139,1139,26330000000
10/1/01,1041,1111,1027,1060,1060,29951280000
9/1/01,1134,1155,945,1041,1041,25025290000
8/1/01,1211,1226,1125,1134,1134,23359200000
7/1/01,1224,1240,1166,1211,1211,23793710000
6/1/01,1256,1287,1203,1224,1224,24748030000
5/1/01,1249,1316,1232,1256,1256,24525900000
4/1/01,1160,1269,1092,1249,1249,25409990000
3/1/01,1240,1267,1081,1160,1160,27806610000
2/1/01,1366,1376,1215,1240,1240,21644400000
1/1/01,1320,1383,1275,1366,1366,27829800000
12/1/00,1315,1389,1254,1320,1320,23610800000
11/1/00,1429,1438,1295,1315,1315,20532300000
10/1/00,1437,1455,1306,1429,1429,25951400000
9/1/00,1518,1530,1419,1437,1437,20838300000
8/1/00,1431,1525,1425,1518,1518,20363700000
